document_id,entity_type,entity_id,doc_type,file_path,file_format,created_at,source,sha256,file_size_bytes,ocr_text,run_date
55358c1e-4fb8-5847-94fc-236866afad48,user,1,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=1/id_card_scan.jpg,jpg,2026-05-13T09:14:40Z,ai_generated,ff9916613abcc99be74be2df34ed861a179368ae77ff104f7117432b8054a6f6,388566,,2026-05-13
a243a825-e0ba-56e3-bbf6-b5da9e4914ed,user,2,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=2/id_card_scan.jpg,jpg,2026-05-13T09:14:41Z,ai_generated,95f2cbabc5254a84149e772583c0eac4245a9a40a2e5712401a2bf6f91ea36d0,386037,,2026-05-13
37db198e-b80d-566a-b375-f4abe904cab7,user,3,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=3/id_card_scan.jpg,jpg,2026-05-13T09:14:41Z,ai_generated,2cce957f0c3c99fc6f5c67ea211935222c721ff764bf981ad60225dfc86e46be,324331,,2026-05-13
9d8ead00-fa2f-5066-b8f8-c6278e33a463,user,4,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=4/id_card_scan.jpg,jpg,2026-05-13T09:14:41Z,ai_generated,2fa96611a2a4d46d030339fdf17fac39ff52461c9133da8424b14809f0e0a17b,455337,,2026-05-13
9c026363-5c6e-5578-af35-00866dc6f285,user,5,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=5/id_card_scan.jpg,jpg,2026-05-13T09:14:42Z,ai_generated,bb124c43a2014afdba497ab83f1fb9d7159dc75d83678678052c05348311bbf0,458264,,2026-05-13
9bcec2b1-55e1-55b0-8ded-5d134de431a2,user,6,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=6/id_card_scan.jpg,jpg,2026-05-13T09:14:42Z,ai_generated,656320e42e0684d58cf00496e4ccc33eb37f6c35dd7120f108e6010db75329e1,326717,,2026-05-13
ff378812-766a-5051-927a-625989b2b5e4,user,7,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=7/id_card_scan.jpg,jpg,2026-05-13T09:14:42Z,ai_generated,0974d75cbaa814b1012b9c103d505bdf761f2ff92871e0c7e1a187c3420d6064,451298,,2026-05-13
d3382468-7ef8-5376-965b-88402e77696a,user,8,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=8/id_card_scan.jpg,jpg,2026-05-13T09:14:43Z,ai_generated,37d29d41b267c94ddaeec2a2ab131b99d81e8363ff6904cdc628a5373e2ec965,439646,,2026-05-13
6aec7034-938f-50bb-9e28-41367bce4f93,user,9,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=9/id_card_scan.jpg,jpg,2026-05-13T09:14:43Z,ai_generated,de99905aaf798497023a7067ed31eebf7fd6eb658afac22dae2beab73e12594c,324934,,2026-05-13
ad08b910-3f4c-541a-826b-978270949fe1,user,10,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=10/id_card_scan.jpg,jpg,2026-05-13T09:14:43Z,ai_generated,fda01f48b94a72923357c242eb94955823e5f81a8da54416771b1cc24ea0808c,368826,,2026-05-13
c100c725-2ea7-594f-8799-cf7fdb02b254,user,11,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=11/id_card_scan.jpg,jpg,2026-05-13T09:14:44Z,ai_generated,597689e14a2f6bdb264937531c6866b1ebbefde2c584933ce7b921a7f7b7dab6,397263,,2026-05-13
857abdc9-99d4-5d01-9961-881b9be32e36,user,12,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=12/id_card_scan.jpg,jpg,2026-05-13T09:14:44Z,ai_generated,bc970427d873f9963fb59455057d4d5097f3171bcd3601bf819f5d03d0016458,315314,,2026-05-13
f09ff85d-3db2-5df0-8b18-d880bf74b0be,user,13,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=13/id_card_scan.jpg,jpg,2026-05-13T09:14:45Z,ai_generated,0bb511aae149f14765e63615a84f8cc67bea06c09ce8246971f2de7277c6d98c,405011,,2026-05-13
c1627c5e-e977-5ecd-ba26-1d9baf46fda2,user,14,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=14/id_card_scan.jpg,jpg,2026-05-13T09:14:45Z,ai_generated,01fddb6119ea52d059fa8e1015e525c36454e64181b2e42fd35e9139bb3e766e,423068,,2026-05-13
1793371b-7939-5c6a-b1f0-810d1aab8fc8,user,15,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=15/id_card_scan.jpg,jpg,2026-05-13T09:14:45Z,ai_generated,84305dc406c9e89495ad231a7db434f6cf584fc9707ed505a1f55b8fc37ee8bd,330870,,2026-05-13
f48463c4-7417-5920-8fa0-dccfb64b1ebe,user,16,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=16/id_card_scan.jpg,jpg,2026-05-13T09:14:46Z,ai_generated,2d1373269e82fe6a7819b933357f4287060e9847107b10d42aa734eda3ffee7c,416452,,2026-05-13
9d2827f1-0af5-5715-b234-0bd136bd8e8e,user,17,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=17/id_card_scan.jpg,jpg,2026-05-13T09:14:46Z,ai_generated,88071f1a11d462779659e2ebc86b860eb04bc67437d0cf0a19a1b2617316e74e,405143,,2026-05-13
fce1a3c8-40f4-5c7c-ae77-38c19ca13b8a,user,18,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=18/id_card_scan.jpg,jpg,2026-05-13T09:14:47Z,ai_generated,91a31d1e430724d38acaff4be4ab784dd048a15afee3687f0f5cf41d1a8f499c,344729,,2026-05-13
ebfae200-d794-558f-bc81-9e5fbefc307e,user,19,id_card,output/unstructured/documents/doc_type=id_card/run_date=2026-05-13/user_id=19/id_card_scan.jpg,jpg,2026-05-13T09:14:47Z,ai_generated,8046ecab23eb02afcd1109156104b4b846ea3340d950c3f10698b1050dd70d23,443132,,2026-05-13
